gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,churn_probability,churn_prediction
0,0,1,0,-1.2802480369298874,0,1,-1.1616939352451685,-0.9941940877241977,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,0.6403051835154876,1
1,0,0,0,0.06430268518835193,1,0,-0.2608779199297493,-0.17373981825040724,0,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,0.03851603435366314,0
1,0,0,0,-1.2395040756535771,1,1,-0.3639232943754246,-0.9596491092068434,1,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,0.285560812702798,0
1,0,0,0,0.512486259227765,0,0,-0.747850415293989,-0.19524770717404732,0,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,0.025733843297057444,0
0,0,0,0,-1.2395040756535771,1,1,0.19617817640187488,-0.94045745447498,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.6876860079969086,1
0,0,0,0,-0.9950403079957154,1,1,1.1584890119510036,-0.6453692184426381,1,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,0.7888431294992511,1
1,0,0,1,-0.42462485012737144,1,1,0.8078023344020117,-0.14731268909089865,0,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,0.4619357380011538,0
0,0,0,0,-0.9135523854430948,0,0,-1.1650179795821258,-0.8741690378436584,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.30009311412823386,0
0,0,1,0,-0.18016108246950976,1,1,1.3296772953043026,0.33651554451135574,1,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False,0.6090050109447335,1
1,0,0,1,1.2051336009250397,1,0,-0.28747027462540753,0.5314762853391823,0,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,0.00965641259351595,0
